trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",35,0,-279.23938516863996,"{0: 16, 1: 5, 2: 9, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-84.29884136390923,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-138.80521863365828,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-159.0534580844016,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-101.57656052364187,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",35,0,-210.98578247139181,"{0: 20, 1: 3, 2: 7, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-103.51348010382657,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-190.65915979845198,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.955}",35,0,-83.80117824175703,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-107.10974145296963,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-182.75582180822542,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-125.15569997736658,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-91.82716907944237,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-113.77270284325107,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-73.55642135232755,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-193.7617200326564,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-146.5804329142737,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-72.94285300287376,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",30,0,-161.73738926040633,"{0: 19, 1: 1, 2: 5, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-92.26555978791272,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-66.86903942413463,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,1,-56.69568873695889,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",30,0,-226.28320683045646,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,2,-134.409109772045,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",25,5,-118.19453414364992,"{0: 7, 1: 6, 2: 6, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-83.03812139116813,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-41.76022200599188,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-111.64080142479703,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,0,-174.36196460051423,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-46.728874978532495,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",20,0,-186.9668282530545,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-12.883340187339295,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,0,-87.39651041044283,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",30,0,-136.2215882204009,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-101.81495070035808,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,11,-39.387567855272586,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,0,-138.44026339166922,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-32.14997049747704,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",25,0,-41.88883257454441,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-100.98308583910857,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",20,0,-148.73299788798232,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,0,-241.8438126031416,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 5}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-35.4127147086151,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,7,3.3870507223685062,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-93.14919752130083,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-18.091100262352843,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-118.02953974015553,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-125.20739953800185,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,0,-37.013852422179376,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,8,-41.467930247000965,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-43.187218675273606,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-271.4435048774757,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 6}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,-114.30801866623564,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-133.4664250929104,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",25,0,-37.471311441610005,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",30,21,-34.20164970940385,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,0,-64.06945253230658,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-81.25818020498328,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,0,-135.66678882591975,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-79.98233319620506,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,12,10.826300786935139,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",35,4,-57.07153930193529,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-140.05490933137287,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,19,-8.230873531824317,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,0,-223.49698806954504,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 5}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,0,-166.0307088264908,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,0,-110.27778001640972,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-41.125441589922126,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,1,-40.323369131317435,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-101.34737128460337,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,1,-68.92538843858574,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",30,4,-78.46323283989106,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",25,0,-126.21428416936337,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,0,-91.17458215248112,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,0,-126.67588737756994,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-132.02830422889133,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",20,0,-19.04191909676674,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
