trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,8,-127.91295655970087,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",25,0,-47.63335725207818,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",25,0,-158.90067019824704,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",30,0,-231.17965698309644,"{0: 15, 1: 4, 2: 5, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999999}",30,0,-229.41807483766874,"{0: 15, 1: 5, 2: 4, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639999}",20,0,-202.8362257597417,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467199}",20,0,-150.27572700170614,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8507630225817855}",25,0,-116.80602452642349,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8337477621301498}",20,0,-49.82159818121826,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",25,0,-122.0770188750596,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8007313507497958}",35,0,-196.2809353279047,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,0,-62.619292317251194,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7690223892601039}",25,15,-7.1628159224356125,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",25,8,-76.15424306359442,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.7385691026454038}",25,0,-267.46633546034303,"{0: 13, 1: 0, 2: 4, 3: 4, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",20,0,-149.86311428551622,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",20,0,-125.33540468489538,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570328}",30,0,-142.35524679646258,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",30,17,-79.55180247991652,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",25,0,-145.06664613316258,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",35,14,-163.0323375806139,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",25,13,-44.567142424659444,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.6283472821521207}",20,0,-56.72016451212848,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.6157803365090782}",25,0,-65.97982930683241,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.6034647297788966}",25,0,-81.03722903098539,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.5913954351833187}",25,9,-114.62132217084522,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",30,0,-82.94971107004696,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.5679761759500592}",20,9,-51.04232904309381,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.5566166524310581}",25,11,-2.356931969044971,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.5454843193824369}",30,11,-71.10527392279934,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.5345746329947881}",25,0,-48.95194709708271,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.5238831403348924}",20,3,-99.45320962578589,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.5134054775281945}",25,0,-32.43521881005095,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.5031373679776306}",25,0,-132.15359442907766,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
