trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.35293661498471,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-63.415441974132804,"{0: 19, 1: 7, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.0501397420941,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.24934797910215,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.68814553781856,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.60747295774559,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.0700261180146,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,8,-33.412908248468774,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.9406062918203,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,8,-81.76150130229553,"{0: 4, 1: 2, 2: 4, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.86965945254255,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.52852120399234,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,6,-123.30528802462878,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 3}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.6584376887796,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,8,-29.039042004988094,"{0: 7, 1: 4, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.4377539537138,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.29494090693,"{0: 15, 1: 6, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,9,-103.75269510290576,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.10635387489322,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.30091832588687,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-32.66244154909182,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-152.97908460093234,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-192.993214607261,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-260.35923798762343,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.3243784382939,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.58721635354526,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,6,-94.23717441765585,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-137.81452577875956,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.71346329217366,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.2460120390532,"{0: 12, 1: 0, 2: 2, 3: 5, 4: 1}",0
